season,celebrity_name,placement,pred_final_rank_survival,pred_final_rank_pct,pred_final_rank_rank,pred_final_rank_new
32,Barry Williams,7,7,7,7,7
32,Lele Pons,8,8,8,8,8
32,Mauricio Umansky,9,9,9,9,9
32,Mira Sorvino,10,10,10,10,10
32,Adrian Peterson,11,11,11,11,11
32,Tyson Beckford,12,12,12,12,12
32,Jamie Lynn Spears,13,13,13,13,13
32,Matt Walsh,14,14,14,14,14
33,Chandler Kinney,3,1,2,2,2
33,Joey Graziadei,1,2,1,1,1
33,Stephen Nedoroscik,4,3,3,5,5
33,Ilona Maher,2,4,4,4,4
33,Danny Amendola,5,5,5,3,3
33,Dwight Howard ,6,6,6,6,6
33,Jenn Tran,7,7,7,7,7
33,Phaedra Parks,8,8,8,8,8
33,Brooks Nader,9,9,9,9,9
33,Eric Roberts,10,10,10,10,10
33,Reginald VelJohnson,10,11,11,11,11
33,Tori Spelling,12,12,12,12,12
33,Anna Delvey,12,13,13,13,13
34,Alix Earle,2,1,2,2,2
34,Jordan Chiles,3,2,1,1,1
34,Robert Irwin,1,3,3,5,5
34,Dylan Efron,4,4,4,3,3
34,Elaine Hendrix,5,5,5,4,4
34,Whitney Leavitt,6,6,6,6,6
34,Andy Richter,7,7,7,7,7
34,Danielle Fishel,8,8,8,8,8
34,Jen Affleck,9,9,9,9,9
34,Scott Hoying,10,10,10,10,10
34,Hilaria Baldwin,11,11,11,11,11
34,Lauren Jauregui,12,12,12,12,12
34,Baron Davis,13,13,13,13,13
34,Corey Feldman,13,14,14,14,14
