season,week,celebrity_name,judge_share,audience_share,combined_share,final_rank_alt_pct,pred_eliminated_alt_pct,judge_total_score
22,5,Doug Flutie,0.10144927536228208,0.0,0.10144927536228208,9.0,0,28.0
22,6,Paige VanZant,0.12334801762109104,0.15467171201157487,0.2780197296326659,1.0,0,28.0
22,6,Wanya Morris,0.12775330396470144,0.1484440227321616,0.27619732669686303,2.0,0,29.0
22,6,Nyle DiMarco,0.11013215859025986,0.16488523282231152,0.27501739141257137,3.0,0,25.0
22,6,Jodie Sweetin,0.11013215859025986,0.13840600184768928,0.24853816043794913,4.0,0,25.0
22,6,Ginger Zee,0.10572687224664946,0.13723240233319883,0.24295927457984828,5.0,0,24.0
22,6,Von Miller,0.10572687224664946,0.10835164518919915,0.2140785174358486,6.0,0,24.0
22,6,Antonio Brown,0.11894273127748065,0.07758144515267798,0.19652417643015863,7.0,0,27.0
22,6,Kim Fields,0.10572687224664946,0.07042753791118676,0.17615441015783623,8.0,0,24.0
22,6,Doug Flutie,0.09251101321581828,0.0,0.09251101321581828,9.0,1,21.0
22,7,Nyle DiMarco,0.13084112149526597,0.23645719142972313,0.3672983129249891,1.0,0,28.0
22,7,Paige VanZant,0.1285046728971362,0.22622368854566738,0.3547283614428036,2.0,0,27.5
22,7,Wanya Morris,0.1285046728971362,0.2055225125570614,0.33402718545419763,3.0,0,27.5
22,7,Ginger Zee,0.1285046728971362,0.17389092140626755,0.3023955943034038,4.0,0,27.5
22,7,Von Miller,0.12149532710274698,0.10177830066765026,0.22327362777039722,5.0,0,26.0
22,7,Jodie Sweetin,0.11915887850461722,0.04688112005498134,0.16603999855959856,6.0,0,25.5
22,7,Antonio Brown,0.12149532710274698,0.009246265338648958,0.13074159244139594,8.0,1,26.0
22,7,Kim Fields,0.12149532710274698,0.0,0.12149532710274698,8.0,1,26.0
22,8,Paige VanZant,0.16568047337268305,0.2801735714384234,0.44585404481110646,1.0,0,28.0
22,8,Nyle DiMarco,0.17159763313599316,0.26680465904254536,0.43840229217853854,2.0,0,29.0
22,8,Ginger Zee,0.17751479289930325,0.19871361397363435,0.37622840687293757,3.0,0,30.0
22,8,Wanya Morris,0.14792899408275273,0.17696185208071583,0.3248908461634685,4.0,0,25.0
