season,week,celebrity_name,judge_rank,audience_share_rank,final_rank,pred_eliminated,survival_prob
3,3,Jerry Springer,8.0,9.0,9.0,1,0.7006176079679283
3,4,Mario Lopez,1.0,4.0,1.0,0,1.0
3,4,Willa Ford,2.0,3.0,1.0,0,1.0
3,4,Joey Lawrence,3.0,5.0,3.0,0,0.9586863694835775
3,4,Monique Coleman,4.0,1.0,4.0,0,0.944166585077745
3,4,Vivica A. Fox,4.0,2.0,5.0,0,0.9346204602108995
3,4,Emmitt Smith,4.0,6.0,6.0,0,0.8755211775500145
3,4,Sara Evans,8.0,7.0,7.0,0,0.7951742841669536
3,4,Jerry Springer,7.0,8.0,8.0,1,0.7022614984391813
3,5,Monique Coleman,1.0,1.0,1.0,0,0.9506949241418295
3,5,Mario Lopez,1.0,3.0,2.0,0,0.908668198610092
3,5,Willa Ford,1.0,4.0,3.0,0,0.9067553592663559
3,5,Joey Lawrence,5.0,2.0,4.0,0,0.8789003135948134
3,5,Emmitt Smith,1.0,5.0,5.0,0,0.8691804206925277
3,5,Jerry Springer,6.0,7.0,7.0,1,0.6212996656997727
3,5,Sara Evans,6.0,6.0,7.0,1,0.7304849322433424
3,6,Mario Lopez,1.0,1.0,1.0,0,0.9475989994203992
3,6,Emmitt Smith,2.0,4.0,2.0,0,0.8519808901505883
3,6,Joey Lawrence,3.0,3.0,3.0,0,0.8487229161749006
3,6,Monique Coleman,4.0,2.0,4.0,0,0.8383473516095454
3,6,Jerry Springer,5.0,5.0,5.0,0,0.5257151170092987
3,7,Joey Lawrence,1.0,1.0,1.0,0,0.9204910140673604
3,7,Mario Lopez,3.0,2.0,2.0,0,0.9066663666852787
3,7,Emmitt Smith,1.0,3.0,3.0,0,0.8828908109622902
3,7,Monique Coleman,4.0,4.0,4.0,0,0.7862964202840126
3,7,Jerry Springer,5.0,5.0,5.0,1,0.5132898577148082
3,8,Mario Lopez,1.0,1.0,1.0,0,0.8667243153452033
3,8,Joey Lawrence,2.0,2.0,2.0,0,0.8361435943336303
3,8,Emmitt Smith,2.0,3.0,3.0,0,0.8064943171517656
3,8,Monique Coleman,4.0,4.0,4.0,1,0.6900234593079526
3,9,Joey Lawrence,1.0,1.0,1.0,0,0.8457692087002086
3,9,Mario Lopez,1.0,2.0,2.0,0,0.8377159697931189
3,9,Emmitt Smith,1.0,3.0,3.0,1,0.8022025479597723
3,10,Mario Lopez,1.0,1.0,1.0,0,0.3529961586456102
3,10,Emmitt Smith,1.0,2.0,2.0,1,0.31694210778629217
4,1,Joey Fatone,1.0,10.0,1.0,0,1.0
4,1,Laila Ali,2.0,7.0,1.0,0,1.0
4,1,Apolo Anton Ohno,3.0,3.0,3.0,0,0.9771276958438656
4,1,Ian Ziering,3.0,3.0,3.0,0,0.9771276958438656
4,1,Paulina Porizkova,5.0,1.0,5.0,0,0.9454773546402552
4,1,Shandi Finnessey,5.0,1.0,5.0,0,0.9454773546402552
